Filename,Description,URL,Reference,Original License,Public Reshare?,Derived License,Notes,Contributor,Date,Measurement Focus,Response Type,Target Population,Domain of Measurement,Scoring Methodology,Data Structure,Data Source,Context of Use,Item Format,Geographic Location
PROMISPME_Forrest_2021_PosAff_Children.csv,PROMIS Pediatric Positive Affect,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/QOO7QX,"Bevans, K. B., Riley, A. W., Landgraf, J. M., Carle, A. C., Teneralli, R. E., Fiese, B. H., ... & Forrest, C. B. (2017). Children’s family experiences: development of the PROMIS® pediatric family relationships measures. Quality of Life Research, 26(11), 3011-3023.
Forrest, C. B., Devine, J., Bevans, K. B., Becker, B. D., Carle, A. C., Teneralli, R. E., ... & Ravens-Sieberer, U. (2018). Development and psychometric evaluation of the PROMIS Pediatric Life Satisfaction item banks, child-report, and parent-proxy editions. Quality of Life Research, 27(1), 217-234.
Forrest, C. B., Bevans, K. B., Pratiwadi, R., Moon, J., Teneralli, R. E., Minton, J. M., & Tucker, C. A. (2014). Development of the PROMIS® pediatric global health (PGH-7) measure. Quality of Life Research, 23(4), 1221-1231.
Forrest, C. B., Ravens-Sieberer, U., Devine, J., Becker, B. D., Teneralli, R. E., Moon, J., ... & Bevans, K. B. (2018). Development and evaluation of the PROMIS® pediatric positive affect item bank, child-report and parent-proxy editions. Journal of happiness studies, 19(3), 699-718.
Bevans, K. B., Gardner, W., Pajer, K. A., Becker, B., Carle, A., Tucker, C. A., & Forrest, C. B. (2018). Psychometric evaluation of the PROMIS® pediatric psychological and physical stress experiences measures. Journal of pediatric psychology, 43(6), 678-692.
Tucker, C. A., Bevans, K. B., Becker, B. D., Teneralli, R., & Forrest, C. B. (2020). Development of the PROMIS Pediatric Physical Activity Item Banks. Physical Therapy.
Forrest, Christopher, 2021, ""PROMIS Pediatric Measure Evaluation"", https://doi.org/10.7910/DVN/QOO7QX, Harvard Dataverse, V1, UNF:6:KR2sdwDQUHzX3hNzM+pZKA== [fileUNF]",CC0 1.0,Public,CC0 1.0,,arthur,10-19-2024,Health/Well-being,Unknown,Pediatric,Positive Affect,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
PROMISPME_Forrest_2021_GHGlobal_Proxy.csv,"PROMIS Pediatric Global Health (PGH-7), proxy respondent",https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/QOO7QX,"Bevans, K. B., Riley, A. W., Landgraf, J. M., Carle, A. C., Teneralli, R. E., Fiese, B. H., ... & Forrest, C. B. (2017). Children’s family experiences: development of the PROMIS® pediatric family relationships measures. Quality of Life Research, 26(11), 3011-3023.
Forrest, C. B., Devine, J., Bevans, K. B., Becker, B. D., Carle, A. C., Teneralli, R. E., ... & Ravens-Sieberer, U. (2018). Development and psychometric evaluation of the PROMIS Pediatric Life Satisfaction item banks, child-report, and parent-proxy editions. Quality of Life Research, 27(1), 217-234.
Forrest, C. B., Bevans, K. B., Pratiwadi, R., Moon, J., Teneralli, R. E., Minton, J. M., & Tucker, C. A. (2014). Development of the PROMIS® pediatric global health (PGH-7) measure. Quality of Life Research, 23(4), 1221-1231.
Forrest, C. B., Ravens-Sieberer, U., Devine, J., Becker, B. D., Teneralli, R. E., Moon, J., ... & Bevans, K. B. (2018). Development and evaluation of the PROMIS® pediatric positive affect item bank, child-report and parent-proxy editions. Journal of happiness studies, 19(3), 699-718.
Bevans, K. B., Gardner, W., Pajer, K. A., Becker, B., Carle, A., Tucker, C. A., & Forrest, C. B. (2018). Psychometric evaluation of the PROMIS® pediatric psychological and physical stress experiences measures. Journal of pediatric psychology, 43(6), 678-692.
Tucker, C. A., Bevans, K. B., Becker, B. D., Teneralli, R., & Forrest, C. B. (2020). Development of the PROMIS Pediatric Physical Activity Item Banks. Physical Therapy.
Forrest, Christopher, 2021, ""PROMIS Pediatric Measure Evaluation"", https://doi.org/10.7910/DVN/QOO7QX, Harvard Dataverse, V1, UNF:6:KR2sdwDQUHzX3hNzM+pZKA== [fileUNF]",CC0 1.0,Public,CC0 1.0,,arthur,10-19-2024,Health/Well-being,Unknown,Pediatric,Global Health,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
PROMISPME_Forrest_2021_PosAff_Proxy.csv,"PROMIS Pediatric Positive Affect, proxy rsepondent",https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/QOO7QX,"Bevans, K. B., Riley, A. W., Landgraf, J. M., Carle, A. C., Teneralli, R. E., Fiese, B. H., ... & Forrest, C. B. (2017). Children’s family experiences: development of the PROMIS® pediatric family relationships measures. Quality of Life Research, 26(11), 3011-3023.
Forrest, C. B., Devine, J., Bevans, K. B., Becker, B. D., Carle, A. C., Teneralli, R. E., ... & Ravens-Sieberer, U. (2018). Development and psychometric evaluation of the PROMIS Pediatric Life Satisfaction item banks, child-report, and parent-proxy editions. Quality of Life Research, 27(1), 217-234.
Forrest, C. B., Bevans, K. B., Pratiwadi, R., Moon, J., Teneralli, R. E., Minton, J. M., & Tucker, C. A. (2014). Development of the PROMIS® pediatric global health (PGH-7) measure. Quality of Life Research, 23(4), 1221-1231.
Forrest, C. B., Ravens-Sieberer, U., Devine, J., Becker, B. D., Teneralli, R. E., Moon, J., ... & Bevans, K. B. (2018). Development and evaluation of the PROMIS® pediatric positive affect item bank, child-report and parent-proxy editions. Journal of happiness studies, 19(3), 699-718.
Bevans, K. B., Gardner, W., Pajer, K. A., Becker, B., Carle, A., Tucker, C. A., & Forrest, C. B. (2018). Psychometric evaluation of the PROMIS® pediatric psychological and physical stress experiences measures. Journal of pediatric psychology, 43(6), 678-692.
Tucker, C. A., Bevans, K. B., Becker, B. D., Teneralli, R., & Forrest, C. B. (2020). Development of the PROMIS Pediatric Physical Activity Item Banks. Physical Therapy.
Forrest, Christopher, 2021, ""PROMIS Pediatric Measure Evaluation"", https://doi.org/10.7910/DVN/QOO7QX, Harvard Dataverse, V1, UNF:6:KR2sdwDQUHzX3hNzM+pZKA== [fileUNF]",CC0 1.0,Public,CC0 1.0,,arthur,10-19-2024,Health/Well-being,Unknown,Pediatric,Positive Affect,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
PROMISPME_Forrest_2021_LS_Children.csv,PROMIS Pediatric Life Satisfaction,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/QOO7QX,"Bevans, K. B., Riley, A. W., Landgraf, J. M., Carle, A. C., Teneralli, R. E., Fiese, B. H., ... & Forrest, C. B. (2017). Children’s family experiences: development of the PROMIS® pediatric family relationships measures. Quality of Life Research, 26(11), 3011-3023.
Forrest, C. B., Devine, J., Bevans, K. B., Becker, B. D., Carle, A. C., Teneralli, R. E., ... & Ravens-Sieberer, U. (2018). Development and psychometric evaluation of the PROMIS Pediatric Life Satisfaction item banks, child-report, and parent-proxy editions. Quality of Life Research, 27(1), 217-234.
Forrest, C. B., Bevans, K. B., Pratiwadi, R., Moon, J., Teneralli, R. E., Minton, J. M., & Tucker, C. A. (2014). Development of the PROMIS® pediatric global health (PGH-7) measure. Quality of Life Research, 23(4), 1221-1231.
Forrest, C. B., Ravens-Sieberer, U., Devine, J., Becker, B. D., Teneralli, R. E., Moon, J., ... & Bevans, K. B. (2018). Development and evaluation of the PROMIS® pediatric positive affect item bank, child-report and parent-proxy editions. Journal of happiness studies, 19(3), 699-718.
Bevans, K. B., Gardner, W., Pajer, K. A., Becker, B., Carle, A., Tucker, C. A., & Forrest, C. B. (2018). Psychometric evaluation of the PROMIS® pediatric psychological and physical stress experiences measures. Journal of pediatric psychology, 43(6), 678-692.
Tucker, C. A., Bevans, K. B., Becker, B. D., Teneralli, R., & Forrest, C. B. (2020). Development of the PROMIS Pediatric Physical Activity Item Banks. Physical Therapy.
Forrest, Christopher, 2021, ""PROMIS Pediatric Measure Evaluation"", https://doi.org/10.7910/DVN/QOO7QX, Harvard Dataverse, V1, UNF:6:KR2sdwDQUHzX3hNzM+pZKA== [fileUNF]",CC0 1.0,Public,CC0 1.0,,arthur,10-19-2024,Health/Well-being,Unknown,Pediatric,Life Satisfaction,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
PROMISPME_Forrest_2021_Psych_Children.csv,PROMIS Pediatric Psychological Stress Experiences,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/QOO7QX,"Bevans, K. B., Riley, A. W., Landgraf, J. M., Carle, A. C., Teneralli, R. E., Fiese, B. H., ... & Forrest, C. B. (2017). Children’s family experiences: development of the PROMIS® pediatric family relationships measures. Quality of Life Research, 26(11), 3011-3023.
Forrest, C. B., Devine, J., Bevans, K. B., Becker, B. D., Carle, A. C., Teneralli, R. E., ... & Ravens-Sieberer, U. (2018). Development and psychometric evaluation of the PROMIS Pediatric Life Satisfaction item banks, child-report, and parent-proxy editions. Quality of Life Research, 27(1), 217-234.
Forrest, C. B., Bevans, K. B., Pratiwadi, R., Moon, J., Teneralli, R. E., Minton, J. M., & Tucker, C. A. (2014). Development of the PROMIS® pediatric global health (PGH-7) measure. Quality of Life Research, 23(4), 1221-1231.
Forrest, C. B., Ravens-Sieberer, U., Devine, J., Becker, B. D., Teneralli, R. E., Moon, J., ... & Bevans, K. B. (2018). Development and evaluation of the PROMIS® pediatric positive affect item bank, child-report and parent-proxy editions. Journal of happiness studies, 19(3), 699-718.
Bevans, K. B., Gardner, W., Pajer, K. A., Becker, B., Carle, A., Tucker, C. A., & Forrest, C. B. (2018). Psychometric evaluation of the PROMIS® pediatric psychological and physical stress experiences measures. Journal of pediatric psychology, 43(6), 678-692.
Tucker, C. A., Bevans, K. B., Becker, B. D., Teneralli, R., & Forrest, C. B. (2020). Development of the PROMIS Pediatric Physical Activity Item Banks. Physical Therapy.
Forrest, Christopher, 2021, ""PROMIS Pediatric Measure Evaluation"", https://doi.org/10.7910/DVN/QOO7QX, Harvard Dataverse, V1, UNF:6:KR2sdwDQUHzX3hNzM+pZKA== [fileUNF]",CC0 1.0,Public,CC0 1.0,,arthur,10-19-2024,Psychological Stress Experiences,Unknown,Pediatric,Psychological,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
PROMISPME_Forrest_2021_LS_Proxy.csv,"PROMIS Pediatric Life Satisfaction, proxy respondent",https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/QOO7QX,"Bevans, K. B., Riley, A. W., Landgraf, J. M., Carle, A. C., Teneralli, R. E., Fiese, B. H., ... & Forrest, C. B. (2017). Children’s family experiences: development of the PROMIS® pediatric family relationships measures. Quality of Life Research, 26(11), 3011-3023.
Forrest, C. B., Devine, J., Bevans, K. B., Becker, B. D., Carle, A. C., Teneralli, R. E., ... & Ravens-Sieberer, U. (2018). Development and psychometric evaluation of the PROMIS Pediatric Life Satisfaction item banks, child-report, and parent-proxy editions. Quality of Life Research, 27(1), 217-234.
Forrest, C. B., Bevans, K. B., Pratiwadi, R., Moon, J., Teneralli, R. E., Minton, J. M., & Tucker, C. A. (2014). Development of the PROMIS® pediatric global health (PGH-7) measure. Quality of Life Research, 23(4), 1221-1231.
Forrest, C. B., Ravens-Sieberer, U., Devine, J., Becker, B. D., Teneralli, R. E., Moon, J., ... & Bevans, K. B. (2018). Development and evaluation of the PROMIS® pediatric positive affect item bank, child-report and parent-proxy editions. Journal of happiness studies, 19(3), 699-718.
Bevans, K. B., Gardner, W., Pajer, K. A., Becker, B., Carle, A., Tucker, C. A., & Forrest, C. B. (2018). Psychometric evaluation of the PROMIS® pediatric psychological and physical stress experiences measures. Journal of pediatric psychology, 43(6), 678-692.
Tucker, C. A., Bevans, K. B., Becker, B. D., Teneralli, R., & Forrest, C. B. (2020). Development of the PROMIS Pediatric Physical Activity Item Banks. Physical Therapy.
Forrest, Christopher, 2021, ""PROMIS Pediatric Measure Evaluation"", https://doi.org/10.7910/DVN/QOO7QX, Harvard Dataverse, V1, UNF:6:KR2sdwDQUHzX3hNzM+pZKA== [fileUNF]",CC0 1.0,Public,CC0 1.0,,arthur,10-19-2024,Health/Well-being,Unknown,Pediatric,Life Satisfaction,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
PROMISPME_Forrest_2021_Psych_Proxy.csv,"PROMIS Pediatric Psychological Stress Experiences, proxy respondent",https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/QOO7QX,"Bevans, K. B., Riley, A. W., Landgraf, J. M., Carle, A. C., Teneralli, R. E., Fiese, B. H., ... & Forrest, C. B. (2017). Children’s family experiences: development of the PROMIS® pediatric family relationships measures. Quality of Life Research, 26(11), 3011-3023.
Forrest, C. B., Devine, J., Bevans, K. B., Becker, B. D., Carle, A. C., Teneralli, R. E., ... & Ravens-Sieberer, U. (2018). Development and psychometric evaluation of the PROMIS Pediatric Life Satisfaction item banks, child-report, and parent-proxy editions. Quality of Life Research, 27(1), 217-234.
Forrest, C. B., Bevans, K. B., Pratiwadi, R., Moon, J., Teneralli, R. E., Minton, J. M., & Tucker, C. A. (2014). Development of the PROMIS® pediatric global health (PGH-7) measure. Quality of Life Research, 23(4), 1221-1231.
Forrest, C. B., Ravens-Sieberer, U., Devine, J., Becker, B. D., Teneralli, R. E., Moon, J., ... & Bevans, K. B. (2018). Development and evaluation of the PROMIS® pediatric positive affect item bank, child-report and parent-proxy editions. Journal of happiness studies, 19(3), 699-718.
Bevans, K. B., Gardner, W., Pajer, K. A., Becker, B., Carle, A., Tucker, C. A., & Forrest, C. B. (2018). Psychometric evaluation of the PROMIS® pediatric psychological and physical stress experiences measures. Journal of pediatric psychology, 43(6), 678-692.
Tucker, C. A., Bevans, K. B., Becker, B. D., Teneralli, R., & Forrest, C. B. (2020). Development of the PROMIS Pediatric Physical Activity Item Banks. Physical Therapy.
Forrest, Christopher, 2021, ""PROMIS Pediatric Measure Evaluation"", https://doi.org/10.7910/DVN/QOO7QX, Harvard Dataverse, V1, UNF:6:KR2sdwDQUHzX3hNzM+pZKA== [fileUNF]",CC0 1.0,Public,CC0 1.0,,arthur,10-19-2024,Psychological Stress Experiences,Unknown,Pediatric,Psychological,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
PROMISPME_Forrest_2021_MP_Children.csv,PROMIS Pediatric Meaning and Purpose,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/QOO7QX,"Bevans, K. B., Riley, A. W., Landgraf, J. M., Carle, A. C., Teneralli, R. E., Fiese, B. H., ... & Forrest, C. B. (2017). Children’s family experiences: development of the PROMIS® pediatric family relationships measures. Quality of Life Research, 26(11), 3011-3023.
Forrest, C. B., Devine, J., Bevans, K. B., Becker, B. D., Carle, A. C., Teneralli, R. E., ... & Ravens-Sieberer, U. (2018). Development and psychometric evaluation of the PROMIS Pediatric Life Satisfaction item banks, child-report, and parent-proxy editions. Quality of Life Research, 27(1), 217-234.
Forrest, C. B., Bevans, K. B., Pratiwadi, R., Moon, J., Teneralli, R. E., Minton, J. M., & Tucker, C. A. (2014). Development of the PROMIS® pediatric global health (PGH-7) measure. Quality of Life Research, 23(4), 1221-1231.
Forrest, C. B., Ravens-Sieberer, U., Devine, J., Becker, B. D., Teneralli, R. E., Moon, J., ... & Bevans, K. B. (2018). Development and evaluation of the PROMIS® pediatric positive affect item bank, child-report and parent-proxy editions. Journal of happiness studies, 19(3), 699-718.
Bevans, K. B., Gardner, W., Pajer, K. A., Becker, B., Carle, A., Tucker, C. A., & Forrest, C. B. (2018). Psychometric evaluation of the PROMIS® pediatric psychological and physical stress experiences measures. Journal of pediatric psychology, 43(6), 678-692.
Tucker, C. A., Bevans, K. B., Becker, B. D., Teneralli, R., & Forrest, C. B. (2020). Development of the PROMIS Pediatric Physical Activity Item Banks. Physical Therapy.
Forrest, Christopher, 2021, ""PROMIS Pediatric Measure Evaluation"", https://doi.org/10.7910/DVN/QOO7QX, Harvard Dataverse, V1, UNF:6:KR2sdwDQUHzX3hNzM+pZKA== [fileUNF]",CC0 1.0,Public,CC0 1.0,,arthur,10-19-2024,Health/Well-being,Unknown,Pediatric,Meaning and Purpose,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
PROMISPME_Forrest_2021_Strength_Children.csv,PROMIS Pediatric Strength Impact,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/QOO7QX,"Bevans, K. B., Riley, A. W., Landgraf, J. M., Carle, A. C., Teneralli, R. E., Fiese, B. H., ... & Forrest, C. B. (2017). Children’s family experiences: development of the PROMIS® pediatric family relationships measures. Quality of Life Research, 26(11), 3011-3023.
Forrest, C. B., Devine, J., Bevans, K. B., Becker, B. D., Carle, A. C., Teneralli, R. E., ... & Ravens-Sieberer, U. (2018). Development and psychometric evaluation of the PROMIS Pediatric Life Satisfaction item banks, child-report, and parent-proxy editions. Quality of Life Research, 27(1), 217-234.
Forrest, C. B., Bevans, K. B., Pratiwadi, R., Moon, J., Teneralli, R. E., Minton, J. M., & Tucker, C. A. (2014). Development of the PROMIS® pediatric global health (PGH-7) measure. Quality of Life Research, 23(4), 1221-1231.
Forrest, C. B., Ravens-Sieberer, U., Devine, J., Becker, B. D., Teneralli, R. E., Moon, J., ... & Bevans, K. B. (2018). Development and evaluation of the PROMIS® pediatric positive affect item bank, child-report and parent-proxy editions. Journal of happiness studies, 19(3), 699-718.
Bevans, K. B., Gardner, W., Pajer, K. A., Becker, B., Carle, A., Tucker, C. A., & Forrest, C. B. (2018). Psychometric evaluation of the PROMIS® pediatric psychological and physical stress experiences measures. Journal of pediatric psychology, 43(6), 678-692.
Tucker, C. A., Bevans, K. B., Becker, B. D., Teneralli, R., & Forrest, C. B. (2020). Development of the PROMIS Pediatric Physical Activity Item Banks. Physical Therapy.
Forrest, Christopher, 2021, ""PROMIS Pediatric Measure Evaluation"", https://doi.org/10.7910/DVN/QOO7QX, Harvard Dataverse, V1, UNF:6:KR2sdwDQUHzX3hNzM+pZKA== [fileUNF]",CC0 1.0,Public,CC0 1.0,,arthur,10-19-2024,Health/Well-being,Unknown,Pediatric,Strength Impact,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
PROMISPME_Forrest_2021_MP_Proxy.csv,"PROMISE Pediatric Meaning and Purpose, proxy respondent",https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/QOO7QX,"Bevans, K. B., Riley, A. W., Landgraf, J. M., Carle, A. C., Teneralli, R. E., Fiese, B. H., ... & Forrest, C. B. (2017). Children’s family experiences: development of the PROMIS® pediatric family relationships measures. Quality of Life Research, 26(11), 3011-3023.
Forrest, C. B., Devine, J., Bevans, K. B., Becker, B. D., Carle, A. C., Teneralli, R. E., ... & Ravens-Sieberer, U. (2018). Development and psychometric evaluation of the PROMIS Pediatric Life Satisfaction item banks, child-report, and parent-proxy editions. Quality of Life Research, 27(1), 217-234.
Forrest, C. B., Bevans, K. B., Pratiwadi, R., Moon, J., Teneralli, R. E., Minton, J. M., & Tucker, C. A. (2014). Development of the PROMIS® pediatric global health (PGH-7) measure. Quality of Life Research, 23(4), 1221-1231.
Forrest, C. B., Ravens-Sieberer, U., Devine, J., Becker, B. D., Teneralli, R. E., Moon, J., ... & Bevans, K. B. (2018). Development and evaluation of the PROMIS® pediatric positive affect item bank, child-report and parent-proxy editions. Journal of happiness studies, 19(3), 699-718.
Bevans, K. B., Gardner, W., Pajer, K. A., Becker, B., Carle, A., Tucker, C. A., & Forrest, C. B. (2018). Psychometric evaluation of the PROMIS® pediatric psychological and physical stress experiences measures. Journal of pediatric psychology, 43(6), 678-692.
Tucker, C. A., Bevans, K. B., Becker, B. D., Teneralli, R., & Forrest, C. B. (2020). Development of the PROMIS Pediatric Physical Activity Item Banks. Physical Therapy.
Forrest, Christopher, 2021, ""PROMIS Pediatric Measure Evaluation"", https://doi.org/10.7910/DVN/QOO7QX, Harvard Dataverse, V1, UNF:6:KR2sdwDQUHzX3hNzM+pZKA== [fileUNF]",CC0 1.0,Public,CC0 1.0,,arthur,10-19-2024,Unknown,Unknown,Pediatric,Meaning and Purpose,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
